ano,municipio,cargo,classificacao,nome_candidato,partido,votos
2022,ARANDU,DEPUTADO ESTADUAL,1,ANDRE DO PRADO,PL,1057
2022,ARANDU,DEPUTADO ESTADUAL,2,SEBASTIAO SANTOS,REPUBLICANOS,194
2022,ARANDU,DEPUTADO ESTADUAL,3,BRUNA FURLAN,PSDB,190
2022,ARANDU,DEPUTADO ESTADUAL,4,ELISANDRA SILVESTRE,PSB,155
2022,ARANDU,DEPUTADO FEDERAL,1,MARCIO ALVINO,PL,954
2022,ARANDU,DEPUTADO FEDERAL,2,VINICIUS CARVALHO,REPUBLICANOS,232
2022,ARANDU,DEPUTADO FEDERAL,3,MARCOS PEREIRA,REPUBLICANOS,193
2022,ARANDU,DEPUTADO FEDERAL,4,RIBAMAR SILVA,PSD,161
2022,BARRA DO CHAPEU,DEPUTADO ESTADUAL,1,MILTON LEITE FILHO,UNIAO,1670
2022,BARRA DO CHAPEU,DEPUTADO ESTADUAL,2,PAULO FIORILO,PT,411
2022,BARRA DO CHAPEU,DEPUTADO ESTADUAL,3,JOAO FADEL,PP,153
2022,BARRA DO CHAPEU,DEPUTADO ESTADUAL,4,CAMPOS MACHADO,AVANTE,113
2022,BARRA DO CHAPEU,DEPUTADO FEDERAL,1,ALEXANDRE LEITE,UNIAO,1812
2022,BARRA DO CHAPEU,DEPUTADO FEDERAL,2,CARLOS ZARATTINI,PT,291
2022,BARRA DO CHAPEU,DEPUTADO FEDERAL,3,RITA PASSOS,REPUBLICANOS,174
2022,BARRA DO CHAPEU,DEPUTADO FEDERAL,4,MAURICIO NEVES,PP,103
2022,BOFETE,DEPUTADO ESTADUAL,1,FERNANDO CURY,UNIAO,650
2022,BOFETE,DEPUTADO ESTADUAL,2,CEZAR,PDT,542
2022,BOFETE,DEPUTADO ESTADUAL,3,TANIA FRUCHI,UNIAO,508
2022,BOFETE,DEPUTADO ESTADUAL,4,DAVI PIRES,AVANTE,307
2022,BOFETE,DEPUTADO FEDERAL,1,JOAO CURY,MDB,1158
2022,BOFETE,DEPUTADO FEDERAL,2,REINALDO ALGUZ,UNIAO,585
2022,BOFETE,DEPUTADO FEDERAL,3,WESLEY CEZAR (LELINHO),PDT,302
2022,BOFETE,DEPUTADO FEDERAL,4,VICENTINHO,PT,216
2022,BOITUVA,DEPUTADO ESTADUAL,1,DRA DAMARIS MOURA,PSDB,1743
2022,BOITUVA,DEPUTADO ESTADUAL,2,DR EDSON DA PAIOL,PODE,1250
2022,BOITUVA,DEPUTADO ESTADUAL,3,ANDRE DO PRADO,PL,1047
2022,BOITUVA,DEPUTADO ESTADUAL,4,ROGERIO SANTOS,MDB,895
2022,BOITUVA,DEPUTADO FEDERAL,1,GUIGA PEIXOTO,PSC,3335
2022,BOITUVA,DEPUTADO FEDERAL,2,RODRIGO GAMBALE,PODE,1803
2022,BOITUVA,DEPUTADO FEDERAL,3,CARLA ZAMBELLI,PL,1248
2022,BOITUVA,DEPUTADO FEDERAL,4,EDUARDO BOLSONARO,PL,1237
2022,BURI,DEPUTADO ESTADUAL,1,EDSON GIRIBONI,UNIAO,1534
2022,BURI,DEPUTADO ESTADUAL,2,ALEX DE MADUREIRA,PL,1218
2022,BURI,DEPUTADO ESTADUAL,3,JOAO FADEL,PP,781
2022,BURI,DEPUTADO ESTADUAL,4,ROGERIO NOGUEIRA,PSDB,609
2022,BURI,DEPUTADO FEDERAL,1,MAURICIO NEVES,PP,2383
2022,BURI,DEPUTADO FEDERAL,2,FREDERICO DAVILA,PL,1503
2022,BURI,DEPUTADO FEDERAL,3,SIMONE MARQUETTO,MDB,1448
2022,BURI,DEPUTADO FEDERAL,4,JILMAR TATTO,PT,487
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO ESTADUAL,1,EDSON GIRIBONI,UNIAO,776
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO ESTADUAL,2,ALESSANDRA GONZAGA,PSDB,373
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO ESTADUAL,3,MILTON LEITE FILHO,UNIAO,318
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO ESTADUAL,4,ALINE TEIXEIRA,UNIAO,196
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO FEDERAL,1,SIMONE MARQUETTO,MDB,1010
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO FEDERAL,2,ALEXANDRE LEITE,UNIAO,399
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO FEDERAL,3,MAURICIO NEVES,PP,258
2022,CAMPINA DO MONTE ALEGRE,DEPUTADO FEDERAL,4,MISSIONARIO JOSE OLIMPIO,PL,153
2022,CAPAO BONITO,DEPUTADO ESTADUAL,1,EDSON GIRIBONI,UNIAO,6339
2022,CAPAO BONITO,DEPUTADO ESTADUAL,2,ROGERIO NOGUEIRA,PSDB,2868
2022,CAPAO BONITO,DEPUTADO ESTADUAL,3,JOAO FADEL,PP,968
2022,CAPAO BONITO,DEPUTADO ESTADUAL,4,JUNIOR VAZ,PSC,851
2022,CAPAO BONITO,DEPUTADO FEDERAL,1,MAURICIO NEVES,PP,5430
2022,CAPAO BONITO,DEPUTADO FEDERAL,2,ELI CORREA FILHO,UNIAO,3889
2022,CAPAO BONITO,DEPUTADO FEDERAL,3,SIMONE MARQUETTO,MDB,2665
2022,CAPAO BONITO,DEPUTADO FEDERAL,4,FREDERICO DAVILA,PL,1487
2022,CAPELA DO ALTO,DEPUTADO ESTADUAL,1,ALESSANDRA GONZAGA,PSDB,1408
2022,CAPELA DO ALTO,DEPUTADO ESTADUAL,2,MARIA LUCIA AMARY,PSDB,1320
2022,CAPELA DO ALTO,DEPUTADO ESTADUAL,3,DRA DAMARIS MOURA,PSDB,761
2022,CAPELA DO ALTO,DEPUTADO ESTADUAL,4,AGENTE FEDERAL DANILO BALAS,PL,491
2022,CAPELA DO ALTO,DEPUTADO FEDERAL,1,VITOR LIPPI,PSDB,1653
2022,CAPELA DO ALTO,DEPUTADO FEDERAL,2,SIMONE MARQUETTO,MDB,1176
2022,CAPELA DO ALTO,DEPUTADO FEDERAL,3,RITA PASSOS,REPUBLICANOS,671
2022,CAPELA DO ALTO,DEPUTADO FEDERAL,4,ELI CORREA FILHO,UNIAO,540
2022,ITATINGA,DEPUTADO ESTADUAL,1,FERNANDO CURY,UNIAO,1952
2022,ITATINGA,DEPUTADO ESTADUAL,2,DR. ANDRE SPADARO,PSDB,1000
2022,ITATINGA,DEPUTADO ESTADUAL,3,EDSON GIRIBONI,UNIAO,527
2022,ITATINGA,DEPUTADO ESTADUAL,4,DR EDSON DA PAIOL,PODE,525
2022,ITATINGA,DEPUTADO FEDERAL,1,JOAO CURY,MDB,2272
2022,ITATINGA,DEPUTADO FEDERAL,2,RODRIGO GAMBALE,PODE,571
2022,ITATINGA,DEPUTADO FEDERAL,3,CAPITAO AUGUSTO,PL,374
2022,ITATINGA,DEPUTADO FEDERAL,4,EDUARDO BOLSONARO,PL,317
2022,SAO MIGUEL ARCANJO,DEPUTADO ESTADUAL,1,EDSON GIRIBONI,UNIAO,3953
2022,SAO MIGUEL ARCANJO,DEPUTADO ESTADUAL,2,MARIA LUCIA AMARY,PSDB,1116
2022,SAO MIGUEL ARCANJO,DEPUTADO ESTADUAL,3,ROGERIO NOGUEIRA,PSDB,1035
2022,SAO MIGUEL ARCANJO,DEPUTADO ESTADUAL,4,JOAO CARAMEZ,PSB,760
2022,SAO MIGUEL ARCANJO,DEPUTADO FEDERAL,1,SIMONE MARQUETTO,MDB,5955
2022,SAO MIGUEL ARCANJO,DEPUTADO FEDERAL,2,MAURICIO NEVES,PP,1799
2022,SAO MIGUEL ARCANJO,DEPUTADO FEDERAL,3,FREDERICO DAVILA,PL,940
2022,SAO MIGUEL ARCANJO,DEPUTADO FEDERAL,4,VITOR LIPPI,PSDB,571
2020,ARANDU,Prefeito,Eleito,FLAVIO GALHEGO,PTB,1712
2020,ARANDU,Prefeito,Não eleito (1),MIGUELZINHO,PSDB,1351
2020,ARANDU,Prefeito,Não eleito (2),ELISANDRA SILVESTRE,MDB,827
2020,ARANDU,Prefeito,Não eleito (3),MANE DO CHAPARRAL,PSD,513
2020,ARANDU,Vereador,1,FERNANDAO TOMATEIRO,PTB,252
2020,ARANDU,Vereador,2,DJALMA,PL,242
2020,ARANDU,Vereador,3,NANI,PL,206
2020,ARANDU,Vereador,4,LUCIANA BERA,PSC,199
2020,ARANDU,Vereador,5,MEIRE FERREIRA,REPUBLICANOS,190
2020,ARANDU,Vereador,6,NALDO PELE,PL,170
2020,ARANDU,Vereador,7,LUCIANO MENECHINI,PSDB,165
2020,ARANDU,Vereador,8,CLAUDINEI BUENO,PSC,162
2020,ARANDU,Vereador,9,LEO BERALDO,PL,162
2020,ARANDU,Vereador,10,BIRO DO ZE BASTOS,PL,161
2020,BARRA DO CHAPEU,Prefeito,Eleito,IVAN DA ANUNCIATA,DEM,2106
2020,BARRA DO CHAPEU,Prefeito,Não eleito (1),FANNY,PP,1038
2020,BARRA DO CHAPEU,Prefeito,Não eleito (2),ZE MARIA DA LOJA,REPUBLICANOS,487
2020,BARRA DO CHAPEU,Prefeito,Não eleito (3),NEGO DA BORRACHARIA,PSL,109
2020,BARRA DO CHAPEU,Vereador,1,RUBINHO DO ONIBUS,PSDB,223
2020,BARRA DO CHAPEU,Vereador,2,JUNIOR DO RIBEIRAOZINHO,DEM,204
2020,BARRA DO CHAPEU,Vereador,3,ROSILDA LEITE,PT,183
2020,BARRA DO CHAPEU,Vereador,4,SERGIO DA LAGOINHA,PTB,167
2020,BARRA DO CHAPEU,Vereador,5,VALDO DA AGRICULTURA,SOLIDARIEDADE,134
2020,BARRA DO CHAPEU,Vereador,6,ADAURI DE OLIVEIRA,PSDB,125
2020,BARRA DO CHAPEU,Vereador,7,FABINHO PONTE ALTA,PT,116
2020,BARRA DO CHAPEU,Vereador,8,ALCEU,PSDB,110
2020,BARRA DO CHAPEU,Vereador,9,PROFESSORA ANA PAULA,PSDB,101
2020,BARRA DO CHAPEU,Vereador,10,TAIRZINHO DA RESINA,PSDB,98
2020,BOFETE,Prefeito,Eleito,TORAO,PSD,3136
2020,BOFETE,Prefeito,Não eleito (1),OSVALDO DO BAIANO,PSDB,2740
2020,BOFETE,Vereador,1,CARLINHOS DO CARMO,DEM,574
2020,BOFETE,Vereador,2,HENRIQUE GALVAO,PSD,400
2020,BOFETE,Vereador,3,DALTON CARTEIRO,PV,381
2020,BOFETE,Vereador,4,ZEBRA,PSDB,314
2020,BOFETE,Vereador,5,GLAUCIA BERTONCINI,PSD,295
2020,BOFETE,Vereador,6,JOAO ALIBERTI,PSDB,254
2020,BOFETE,Vereador,7,ZECAO,PSD,226
2020,BOFETE,Vereador,8,RENATO FERREIRA,DEM,210
2020,BOFETE,Vereador,9,TULA,PSDB,208
2020,BOFETE,Vereador,10,ADALBERTO DA ACADEMIA,PSD,175
2020,BOITUVA,Prefeito,Eleito,EDSON MARCUSSO,CIDADANIA,9353
2020,BOITUVA,Prefeito,Não eleito (1),FABRICIO AMARO,PL,8207
2020,BOITUVA,Prefeito,Não eleito (2),ZE CRISTO,PSC,4320
2020,BOITUVA,Prefeito,Não eleito (3),BANO BRANCACCIO,PSD,4060
2020,BOITUVA,Prefeito,Não eleito (4),PROFESSOR FERNANDO,PSDB,2043
2020,BOITUVA,Vereador,1,TIAGO DA FLEX,MDB,843
2020,BOITUVA,Vereador,2,CECILIA PACHECO,PSD,735
2020,BOITUVA,Vereador,3,UCA DA ESCOLINHA DE FUTEBOL,CIDADANIA,702
2020,BOITUVA,Vereador,4,NETO FRIOS,PSD,698
2020,BOITUVA,Vereador,5,RAFAEL BRUXA,CIDADANIA,635
2020,BOITUVA,Vereador,6,FLAVIO DO POSTO,REPUBLICANOS,587
2020,BOITUVA,Vereador,7,NELSON DA FARMACIA,CIDADANIA,577
2020,BOITUVA,Vereador,8,LUCAS MATEOS,PODE,556
2020,BOITUVA,Vereador,9,PEDRINHO GAS,CIDADANIA,478
2020,BOITUVA,Vereador,10,PROFESSOR DAL,PODE,478
2020,BURI,Prefeito,Eleito,OMAR CHAIN,PP,6844
2020,BURI,Prefeito,Não eleito (1),PIPO - U FONSECA,PRTB,4098
2020,BURI,Prefeito,Não eleito (2),ELIAS DOS ANJOS,MDB,331
2020,BURI,Vereador,1,NALDO DO ORDO,PSD,1289
2020,BURI,Vereador,2,RONALDO DA SAUDE,PODE,796
2020,BURI,Vereador,3,MACIEL DO FAMA,PSDB,530
2020,BURI,Vereador,4,GABRIEL COMERON,PP,391
2020,BURI,Vereador,5,CELSINHO,PP,333
2020,BURI,Vereador,6,LEH MENDES,PODE,333
2020,BURI,Vereador,7,RENATINHO GENRO DO AMADEU,PSL,333
2020,BURI,Vereador,8,NEI DO POSTO,PSDB,305
2020,BURI,Vereador,9,MARQUINHO DA VAN,PSDB,289
2020,BURI,Vereador,10,CLAUDIA,PRTB,273
2020,CAMPINA DO MONTE ALEGRE,Prefeito,Eleito,GIL,PP,2269
2020,CAMPINA DO MONTE ALEGRE,Prefeito,Não eleito (1),TIAGO DO ZE DITO,PSDB,2002
2020,CAMPINA DO MONTE ALEGRE,Prefeito,Não eleito (2),PROFESSORA SIRLEI,MDB,507
2020,CAMPINA DO MONTE ALEGRE,Vereador,1,FRANCINE FISIOTERAPEUTA,PSDB,184
2020,CAMPINA DO MONTE ALEGRE,Vereador,2,MARCELO TURMEIRO,MDB,180
2020,CAMPINA DO MONTE ALEGRE,Vereador,3,PAULINHO MEIRA,PSDB,175
2020,CAMPINA DO MONTE ALEGRE,Vereador,4,EDMILSON,PSDB,150
2020,CAMPINA DO MONTE ALEGRE,Vereador,5,CAIO DA GEGE,DEM,145
2020,CAMPINA DO MONTE ALEGRE,Vereador,6,CIDO DA CANARINHO,PP,142
2020,CAMPINA DO MONTE ALEGRE,Vereador,7,MAURO BAITI,PP,134
2020,CAMPINA DO MONTE ALEGRE,Vereador,8,ROSELI DIAS,DEM,128
2020,CAMPINA DO MONTE ALEGRE,Vereador,9,ALTAIR,PSDB,120
2020,CAMPINA DO MONTE ALEGRE,Vereador,10,ABNER FIUZA,PSDB,107
2020,CAPAO BONITO,Prefeito,Eleito,JULIO FERNANDO,PODE,12568
2020,CAPAO BONITO,Prefeito,Não eleito (1),MARCO CITADINI,PTB,5554
2020,CAPAO BONITO,Prefeito,Não eleito (2),HEITOR DA GELSA,PSL,5140
2020,CAPAO BONITO,Prefeito,Não eleito (3),MOACIR SILVA TOMATE,PT,320
2020,CAPAO BONITO,Vereador,1,PAULO CECAP,PP,1665
2020,CAPAO BONITO,Vereador,2,BAITACA,PL,794
2020,CAPAO BONITO,Vereador,3,NETO TALLARICO,PL,687
2020,CAPAO BONITO,Vereador,4,ALAN SENCIATTI,PSD,641
2020,CAPAO BONITO,Vereador,5,RAFAEL DO ABNER,PSL,626
2020,CAPAO BONITO,Vereador,6,NETO DA FARMACIA,PTB,608
2020,CAPAO BONITO,Vereador,7,DAAN CABELEIREIRO,PSDB,560
2020,CAPAO BONITO,Vereador,8,DIOGO COELHO,PSDB,519
2020,CAPAO BONITO,Vereador,9,FIO LONDRINA,PSD,461
2020,CAPAO BONITO,Vereador,10,MATHEUS FRANCATTO,PSD,457
2020,CAPELA DO ALTO,Prefeito,Eleito,KEKE,PSDB,8224
2020,CAPELA DO ALTO,Prefeito,Não eleito (1),REGINA TOLENTINO,MDB,2610
2020,CAPELA DO ALTO,Vereador,1,LEO CORRENTE DO BEM,PDT,549
2020,CAPELA DO ALTO,Vereador,2,SIMONE ARRUDA,PSDB,548
2020,CAPELA DO ALTO,Vereador,3,MENEGUETE,PSDB,454
2020,CAPELA DO ALTO,Vereador,4,ALUISIO,MDB,401
2020,CAPELA DO ALTO,Vereador,5,JOAO LEITE,PSDB,356
2020,CAPELA DO ALTO,Vereador,6,PROFESSOR SULEVAN,MDB,282
2020,CAPELA DO ALTO,Vereador,7,JANAINA TORRES,MDB,249
2020,CAPELA DO ALTO,Vereador,8,FELIPE SIMOES,PP,230
2020,CAPELA DO ALTO,Vereador,9,AMAURI DO PORTO,PDT,223
2020,CAPELA DO ALTO,Vereador,10,ZE MARIA DA TEREZINHA,PSDB,210
2020,ITATINGA,Prefeito,Eleito,JOAO BOSCO,DEM,6489
2020,ITATINGA,Prefeito,Não eleito (1),DIEGO BATISTA,PSDB,3070
2020,ITATINGA,Prefeito,Não eleito (2),FERNANDO CABELEIREIRO,PRTB,391
2020,ITATINGA,Vereador,1,ARLETE MORAIS,DEM,429
2020,ITATINGA,Vereador,2,EDSON BIAZON,PL,426
2020,ITATINGA,Vereador,3,LEO ZANARDO,CIDADANIA,381
2020,ITATINGA,Vereador,4,ALEXSANDRA FARIA,PSDB,342
2020,ITATINGA,Vereador,5,LUKAS MACHADO,PSDB,305
2020,ITATINGA,Vereador,6,FERNANDA DO PASCHOAL,PL,285
2020,ITATINGA,Vereador,7,PROFESSOR MANOEL,DEM,269
2020,ITATINGA,Vereador,8,OSWALDO CABELEIREIRO,PL,248
2020,ITATINGA,Vereador,9,CRISTIAN FERNANDES,DEM,242
2020,ITATINGA,Vereador,10,ROSALVA RIBEIRO,DEM,230
2020,SAO MIGUEL ARCANJO,Prefeito,Eleito,PAULO OREIA,PP,12512
2020,SAO MIGUEL ARCANJO,Prefeito,Não eleito (1),CELSO MOSSIN,PSDB,4195
2020,SAO MIGUEL ARCANJO,Prefeito,Não eleito (2),POLICIAL SILVIO LEME,PSL,329
2020,SAO MIGUEL ARCANJO,Prefeito,Não eleito (3),JOAO GOTE,PSOL,323
2020,SAO MIGUEL ARCANJO,Vereador,1,JULIO BUSCARIOL,PP,755
2020,SAO MIGUEL ARCANJO,Vereador,2,GIL SALES ALBACH,PP,692
2020,SAO MIGUEL ARCANJO,Vereador,3,GUININHA PEREIRA,MDB,651
2020,SAO MIGUEL ARCANJO,Vereador,4,CLAUDINHO FILHO,PSD,615
2020,SAO MIGUEL ARCANJO,Vereador,5,FABIO PEZZATO,PSL,614
2020,SAO MIGUEL ARCANJO,Vereador,6,MARCELO DA VILA NOVA,MDB,584
2020,SAO MIGUEL ARCANJO,Vereador,7,CLAUDIO SATORO,PSD,565
2020,SAO MIGUEL ARCANJO,Vereador,8,LUIZ ANTONIO DA SAUDE,PSD,557
2020,SAO MIGUEL ARCANJO,Vereador,9,GABRIEL RATTO,PSD,547
2020,SAO MIGUEL ARCANJO,Vereador,10,PROFESSOR NANA,PSD,500
