Produto,URL atual em português,SlugEn corrigido,Status
ADOBE ILLUSTRATOR 2026 assinatura anual ,/produto/adobe-ilustrator,adobe-illustrator-2026-subscription-annual-,AUTO
ARC Raiders Steam Key (PC) GLOBAL,/produto/arc-raiders-steam-key-pc-global,arc-raiders-steam-key-pc-global,AUTO
Autocad 2025 Para Windows (assinatura anual),/produto/autocad-2025-para-windows-assinatura-anual,autocad-2025-windows-annual-subscription,CORRIGIDO
AutoCAD Map 3D 2025 Para Windows (assinatura anual),/produto/autocad-map-3d-2025-para-windows-assinatura-anual,autocad-map-3d-2025-windows-annual-subscription,CORRIGIDO
Autodesk AutoCAD 2022 | Original ESD License,/produto/autodesk-autocad-2022-para-windows,autodesk-autocad-2022-original-esd-license,AUTO
Autodesk AutoCAD 2023 | Original ESD License,/produto/autodesk-autocad-2023-original-esd-license,autodesk-autocad-2023-original-esd-license,AUTO
Autodesk AutoCAD 2024 | Original ESD License,/produto/autodesk-autocad-2024-original-esd-license,autodesk-autocad-2024-original-esd-license,AUTO
Autodesk AutoCAD 2025 | Original ESD License,/produto/autodesk-autocad-2025-original-esd-license,autodesk-autocad-2025-original-esd-license,AUTO
Autodesk Inventor Professional 2022 | Licença Original ESD,/produto/autodesk-inventor-professional-2022-licenca-original,autodesk-inventor-professional-2022-licena-original-esd,AUTO
Autodesk Inventor Professional 2023 | Original ESD License,/produto/autodesk-inventor-professional-2023-licenca-original,autodesk-inventor-professional-2023-original-esd-license,AUTO
Autodesk Inventor Professional 2024 | Original ESD License,/produto/autodesk-inventor-professional-2024-licenca-original,autodesk-inventor-professional-2024-original-esd-license,AUTO
Autodesk Navisworks Manage | Original ESD License,/produto/navisworks-manage-autodesk-licenca-original-esd,autodesk-navisworks-manage-original-esd-license,AUTO
Autodesk Revit 2022 | Licença Original ESD,/produto/autodesk-revit-2022-licenca-original,autodesk-revit-2022-licena-original-esd,AUTO
Autodesk Revit 2023 | Original ESD License,/produto/autodesk-revit-2023-original-esd-license,autodesk-revit-2023-original-esd-license,AUTO
Autodesk Revit 2024 | Original ESD License,/produto/autodesk-revit-2024-licenca-original,autodesk-revit-2024-original-esd-license,AUTO
Battlefield 6 (Xbox Series X|S) XBOX LIVE Key UNITED STATES,/produto/battlefield-6-xbox-series-x-s-xbox-live-key-united-states,battlefield-6-xbox-series-xs-xbox-live-key-united-states,AUTO
Canva Pro - Perpetual license (one-time payment),/produto/canva-pro-vitalicio-licenca-original,canva-pro-perpetual-license-one-time-payment,AUTO
Cities: Skylines II Steam Key GLOBAL,/produto/cities-skylines-ii-steam-key-global,cities-skylines-ii-steam-key-global,AUTO
Civil 3D 2025 Para Windows (assinatura anual),/produto/autodesk-civil-3d-licenca-original,civil-3d-2025-windows-annual-subscription,CORRIGIDO
CorelDRAW Graphics Suite 2020 para Windows,/produto/coreldraw-graphics-suite-2020-para-windows,coreldraw-graphics-suite-2020-for-windows,AUTO
CorelDRAW Graphics Suite 2021 para MAC,/produto/coreldraw-graphics-suite-2021-para-mac,coreldraw-graphics-suite-2021-for-mac,AUTO
CorelDRAW Graphics Suite 2021 para Windows,/produto/coreldraw-graphics-suite-2021-para-windows,coreldraw-graphics-suite-2021-for-windows,AUTO
CorelDRAW Graphics Suite 2022 para Windows,/produto/coreldraw-graphics-suite-2022-para-windows,coreldraw-graphics-suite-2022-for-windows,AUTO
CorelDraw Graphics Suite X7 para Windows,/produto/coreldraw-graphics-suite-x7-para-windows,coreldraw-graphics-suite-x7-for-windows,AUTO
CorelDraw Graphics Suite X8 para Windows,/produto/coreldraw-graphics-suite-x8-para-windows,coreldraw-graphics-suite-x8-for-windows,AUTO
Cypecad 2024 Perpetual license (one-time payment),/produto/cypecad-2024-licenca-vitalicia,cypecad-2024-perpetual-license-one-time-payment,AUTO
DayZ Deluxe Edition Steam Key GLOBAL,/produto/dayz-deluxe-edition-steam-key-global,dayz-deluxe-edition-steam-key-global,AUTO
Dying Light The Beast Steam Key GLOBAL,/produto/dying-light-the-beast-steam-key-global,dying-light-the-beast-steam-key-global,AUTO
EA SPORTS FC 24 Ultimate Edition (PC) Steam Key GLOBAL,/produto/ea-sports-fc-24-ultimate-edition-pc-steam-key-global,ea-sports-fc-24-ultimate-edition-pc-steam-key-global,AUTO
EA SPORTS FC 26 Standard Edition (Xbox Series X|S) XBOX LIVE Key UNITED STATES,/produto/ea-sports-fc-26-standard-edition-xbox-series-x-s-xbox-live-key-united-states,ea-sports-fc-26-standard-edition-xbox-series-xs-xbox-live-key-united-states,AUTO
EA SPORTS FC 26 Ultimate Edition (PS4/PS5) PSN Key UNITED STATES,/produto/ea-sports-fc-26-ultimate-edition-ps4-ps5-psn-key-united-states,ea-sports-fc-26-ultimate-edition-ps4ps5-psn-key-united-states,AUTO
ESET Internet Security 2023,/produto/eset-internet-security-2023,eset-internet-security-2023,AUTO
Grand Theft Auto V: Premium Online Edition Rockstar Games Launcher Key GLOBAL,/produto/gta5,grand-theft-auto-v-premium-online-edition-rockstar-games-launcher-key-global,AUTO
Hogwarts Legacy Steam Key PC GLOBAL,/produto/hogwarts-legacy-steam-key-pc-global,hogwarts-legacy-steam-key-pc-global,AUTO
HyperX - Alloy Origins Core TKL Wired Mechanical Tactile Aqua Switch Gaming Keyboard with RGB Back Lighting - Black,/produto/hyperx-alloy-origins-core-tkl-wired-mechanical-tactile-aqua-switch-gaming-keyboard-with-rgb-back-lighting-black,hyperx-alloy-origins-core-tkl-wired-mechanical-tactile-aqua-switch-gaming-keyboard-with-rgb-back-lighting-black,AUTO
Inventor Pro 2026 Para Windows (assinatura anual),/produto/inventor-pro-2026-para-windows-assinatura-anual,inventor-pro-2026-windows-annual-subscription,CORRIGIDO
Kaspersky Premium - 1, 3, 5 or 10 Devices - 1 Year,/produto/kaspersky-premium-1-3-5-ou-10-dispositivos-1-ano,kaspersky-premium-1-3-5-or-10-devices-1-year,AUTO
Lumion Pro 12 Lifetime License for Windows,/produto/lumion-pro-12-licenca-vitalicia-para-windows,lumion-pro-12-lifetime-license-for-windows,AUTO
Lumion Pro 2023 Lifetime License,/produto/lumion-pro-2023-licenca-vitalicia,lumion-pro-2023-lifetime-license,AUTO
Maya 2025 Para Windows (assinatura anual),/produto/maya-2025-para-windows-assinatura-anual,maya-2025-windows-annual-subscription,CORRIGIDO
Microsoft Office 2016 Professional Plus - 32/64 Bits | Original ESD License,/produto/microsoft-office-2016-profesional-plus-32-64-bits-esd,microsoft-office-2016-professional-plus-3264-bits-original-esd-license,AUTO
Microsoft Office 2019 Professional Plus - 32/64 Bits | Original ESD License,/produto/microsoft-office-2019-profesional-plus-32-64-bits-esd,microsoft-office-2019-professional-plus-3264-bits-original-esd-license,AUTO
Microsoft Office 2024 Professional Plus – Perpetual license (one-time payment),/produto/microsoft-office-2024-professional-plus-lifetime-digital-license,microsoft-office-2024-professional-plus-perpetual-license-one-time-payment,AUTO
MICROSOFT OFFICE 365  + MICROSOFT WINDOWS 11 PRO Licença Digital,/produto/microsoft-office-365-vitalicio-microsoft-windows-11-pro-1-licenca,microsoft-office-365-microsoft-windows-11-pro-license-digital,AUTO
Microsoft Office 365 – 5 Licenses (PC, Mac, Android, or iOS),/produto/microsoft-office-365-vitalicio-5-licenses-pc-mac-android-ou-ios-1-tb-one-drive,microsoft-office-365-5-licenses-pc-mac-android-or-ios,AUTO
Microsoft Office 365 + Windows 10 Pro | Original ESD License,/produto/microsoft-office-365-vitalicio-microsoft-windows-10-pro-1-licenca,microsoft-office-365-windows-10-pro-original-esd-license,AUTO
Microsoft Office 365 Account Global,/produto/microsoft-office-365-vitalicio,microsoft-office-365-account-global,AUTO
Microsoft Office 365 Business Premium + 1 TB OneDrive | Original ESD License,/produto/microsoft-office-365-business-premium-1-tb-onedrive-licenca-original-esd,microsoft-office-365-business-premium-1-tb-onedrive-original-esd-license,AUTO
Microsoft Office 365 Family Licença Original ESD,/produto/microsoft-office-365-family-1-tb-onedrive-licenca-original-esd,microsoft-office-365-family-licena-original-esd,AUTO
Microsoft Office 365 Pro Plus | Office 365 Lifetime Access,/produto/office-365-lifetime-access,microsoft-office-365-pro-plus-office-365-lifetime-access,AUTO
MICROSOFT OFFICE HOME & BUSINESS 2016 PARA MAC – 32 / 64 BITS – ESD,/produto/microsoft-office-home-business-2016-para-mac-32-64-bits-esd,microsoft-office-home-business-2016-mac-3264-bits-esd,CORRIGIDO
MICROSOFT OFFICE HOME & BUSINESS 2019 PARA MAC – 32 / 64 BITS – ESD,/produto/microsoft-office-home-business-2019-para-mac-32-64-bits-esd,microsoft-office-home-business-2019-mac-3264-bits-esd,CORRIGIDO
Microsoft Project 2016 – Licença Digital,/produto/microsoft-project-professional-2016-download-nota-fiscal,microsoft-project-2016-license-digital,AUTO
Microsoft Project 2019 – Licença Digital,/produto/microsoft-project-professional-2019-download-nota-fiscal,microsoft-project-2019-license-digital,AUTO
Microsoft Project 2021 – Licença Digital,/produto/licenca-microsoft-project-professional-2021-esd,microsoft-project-2021-license-digital,AUTO
Microsoft Project Professional 2019 | Original ESD Key License,/produto/microsoft-project-professional-2019-licenca-original-chave-esd,microsoft-project-professional-2019-original-esd-key-license,AUTO
Microsoft Project Professional 2021 | Original ESD Key License,/produto/microsoft-project-professional-2021-licenca-original-chave-esd,microsoft-project-professional-2021-original-esd-key-license,AUTO
Microsoft Visio  2019 - Licença Digital,/produto/microsoft-visio-professional-2019-download-nota-fiscal,microsoft-visio-2019-license-digital,AUTO
Microsoft Visio Professional 2019 | Original ESD Key License,/produto/microsoft-visio-professional-2019-licenca-original-chave-esd,microsoft-visio-professional-2019-original-esd-key-license,AUTO
Microsoft Visio Professional 2021 | Original ESD Key License,/produto/microsoft-visio-professional-2021-licenca-original-chave-esd,microsoft-visio-professional-2021-original-esd-key-license,AUTO
MICROSOFT WINDOWS 10 ENTERPRISE – 32 / 64 BITS – ESD,/produto/microsoft-windows-10-enterprise-32-64-bits-esd,microsoft-windows-10-enterprise-32-64-bits-esd,AUTO
MICROSOFT WINDOWS 10 HOME – 32 / 64 BITS - ESD,/produto/microsoft-windows-10-home-32-64-bits-esd,microsoft-windows-10-home-32-64-bits-esd,AUTO
MICROSOFT WINDOWS 10 PRO UPGRADE – 32 / 64 BITS – ESD,/produto/microsoft-windows-10-pro-upgrade-32-64-bits-esd,microsoft-windows-10-pro-upgrade-32-64-bits-esd,AUTO
MICROSOFT WINDOWS SERVER 2012 R2 STANDARD PORTUGUÊS (PT-BR),/produto/microsoft-windows-server-2012-r2-standard-portugues-pt-br,microsoft-windows-server-2012-r2-standard-portugus-pt-br,AUTO
MICROSOFT WINDOWS SERVER 2016 STANDARD – (DOWNLOAD) + NOTA FISCAL,/produto/microsoft-windows-server-2016-standard-download-nota-fiscal,microsoft-windows-server-2016-standard-download-esd,CORRIGIDO
MICROSOFT WINDOWS SERVER 2019 STANDARD – Licença Digital,/produto/microsoft-windows-server-2019-standard-download-nota-fiscal,microsoft-windows-server-2019-standard-license-digital,AUTO
MICROSOFT WINDOWS SERVER 2022 STANDARD – (DOWNLOAD) + NOTA FISCAL,/produto/microsoft-windows-server-2022-standard-download-nota-fiscal,microsoft-windows-server-2022-standard-download-esd,CORRIGIDO
MikroTik RouterBOARD hEX lite RB750r2 router,/produto/mikrotik-routerboard-hex-lite-rb750r2-router,mikrotik-routerboard-hex-lite-rb750r2-router,AUTO
MikroTik RouterBOARD hEX S RB760iGS router,/produto/roteador-mikrotik-routerboard-hex-s-rb760igs,mikrotik-routerboard-hex-s-rb760igs-router,AUTO
Mortal Kombat XL Steam Key GLOBAL,/produto/mortalkombat,mortal-kombat-xl-steam-key-global,AUTO
Office 2016 Professional – Licença Digital,/produto/microsoft-office-professional-2016-32-64-bits-esd,office-2016-professional-license-digital,AUTO
Office 2019 Professional – Licença Digital,/produto/microsoft-office-professional-2019-32-64-bits-esd,office-2019-professional-license-digital,AUTO
Office 2021 Pro Plus + Windows 11 Pro,/produto/office-2021-pro-plus-windows-11-pro,office-2021-pro-plus-windows-11-pro,AUTO
Office 2021 Professional Plus – Licença Digital,/produto/office-2021-pro-plus,office-2021-professional-plus-license-digital,AUTO
Office 2024 Home and Business – PC/Mac – Licença Vitalícia + Nota Fiscal e Garantia,/produto/office2024-home-and-business,office-2024-home-business-pcmac-lifetime-license,CORRIGIDO
Office 2024 Professional – Licença Digital,/produto/office-ltsc-pro-plus-2024,office-2024-professional-license-digital,AUTO
Office 365 Original para PC e Mac – Entrega Instantânea,/produto/microsoft-office-365-vitalicio-5-licencas-pc-mac-android-ou-ios-1-tb-one-drive,office-365-original-pc-mac-instant-delivery,CORRIGIDO
Office 365 Personal, Digital, 1TB, 1 licença - Microsoft,/produto/office-365-personal-digital-1tb-1-licenca-microsoft,office-365-personal-digital-1tb-1-licena-microsoft,AUTO
Office Professional 2021 - 32/64 Bits | Original ESD License,/produto/pacote-office-professional-2021-32-64-bits-esd,office-professional-2021-3264-bits-original-esd-license,AUTO
Pacote De 50 Device CALs Windows Server 2019 – 32/64 BITS – Licença Vitalícia + Nota Fiscal e Garantia,/produto/pacote-de-50-device-cals-windows-server-2019-32-64-bits-licenca-vitalicia-nota-fiscal-e-garantia,50-device-cals-windows-server-2019-3264-bits-lifetime-license,CORRIGIDO
R.E.P.O. Steam Key GLOBAL,/produto/r-e-p-o-steam-key-global,repo-steam-key-global,AUTO
Recap Pro 2025 Para Windows (assinatura anual),/produto/recap-pro-2025-para-windows-assinatura-anual,recap-pro-2025-windows-annual-subscription,CORRIGIDO
Resident Evil Requiem Deluxe Edition Steam Key GLOBAL,/produto/resident-evil-requiem-deluxe-edition-steam-key-global,resident-evil-requiem-deluxe-edition-steam-key-global,AUTO
Revit 2025 Para Windows (assinatura anual),/produto/comprar-revit-2025-original,revit-2025-windows-annual-subscription,CORRIGIDO
Robot Structural Analysis Pro 2025 Para Windows (assinatura anual),/produto/robot-structural-analysis-pro-2025-para-windows-assinatura-anual,robot-structural-analysis-pro-2025-windows-annual-subscription,CORRIGIDO
Roteador Tp-link Deco M4 Mesh Gigabit Dual-band Ac1200,/produto/roteador-tp-link-deco-m4-mesh-gigabit-dual-band-ac1200,roteador-tp-link-deco-m4-mesh-gigabit-dual-band-ac1200,AUTO
SketchUp Pro 2023 + V-Ray 6 for Windows | Original ESD License,/produto/sketchup-pro-2023-vray-6-para-windows,sketchup-pro-2023-v-ray-6-for-windows-original-esd-license,AUTO
SnowRunner Steam Key GLOBAL,/produto/snowrunner-steam-key-global,snowrunner-steam-key-global,AUTO
Sonic Frontiers (PC) Steam Key GLOBAL,/produto/sonic,sonic-frontiers-pc-steam-key-global,AUTO
The Last of Us Part I Steam Key PC GLOBAL,/produto/the-last-of-us-part-i-steam-key-pc-global,the-last-of-us-part-i-steam-key-pc-global,AUTO
The Precinct Steam Key PC GLOBAL,/produto/the-precinct-steam-key-pc-global,the-precinct-steam-key-pc-global,AUTO
The Witcher 3 Wild Hunt Complete Edition Steam Key GLOBAL,/produto/the-witcher-3-wild-hunt-complete-edition-steam-key-global,the-witcher-3-wild-hunt-withplete-edition-steam-key-global,AUTO
Windows 10 Enterprise | Original ESD Key License,/produto/licenca-windows-10-enterprise-32-64-bits-esd,windows-10-enterprise-original-esd-key-license,AUTO
Windows 10 Enterprise 2021 LTSC Key,/produto/windows-10-enterprise-2021-ltsc-key,windows-10-enterprise-2021-ltsc-key,AUTO
Windows 10 Home | Original ESD Key License,/produto/microsoft-windows-10-home-chave-esd-32-64-bits,windows-10-home-original-esd-key-license,AUTO
Windows 10 Pro – Licença Digital com Ativação Online,/produto/microsoft-windows-10-pro-chave-esd-32-64-bits,windows-10-pro-digital-license-activation-online,CORRIGIDO
Windows 10 Pro + Office 365 -  Licença Digital,/produto/microsoft-office-365-pcs-mac-ios-e-android-microsoft-windows-10-pro-1-licenca,windows-10-pro-office-license-digital,AUTO
Windows 10 Pro | Original ESD Key License,/produto/licenca-windows-10-pro-32-64-bits-esd,windows-10-pro-original-esd-key-license,AUTO
Windows 10 Pro Upgrade | Original ESD Key License,/produto/licenca-windows-10-pro-upgrade-32-64-bits-esd,windows-10-pro-upgrade-original-esd-key-license,AUTO
Windows 11 Enterprise | Original ESD Key License,/produto/windows-11-enterprise-licenca-original-chave-esd,windows-11-enterprise-original-esd-key-license,AUTO
Windows 11 Home | Original ESD Key License,/produto/microsoft-windows-11-home-chave-esd-32-64-bits,windows-11-home-original-esd-key-license,AUTO
Windows 11 Pro – Licença Digital com Ativação Online,/produto/microsoft-windows-11-pro-chave-esd-32-64-bits,windows-11-pro-digital-license-activation-online,CORRIGIDO
Windows 11 Pro + Office 2021 Pro Plus | Original ESD Key License,/produto/windows-11-pro-office-2021-pro-plus-1-licenca,windows-11-pro-office-2021-pro-plus-original-esd-key-license,AUTO
Windows 11 Pro + Office 365 Pro Plus | Original ESD Key License,/produto/windows-11-pro-office-365-pro-plus-licenca-original-esd,windows-11-pro-office-365-pro-plus-original-esd-key-license,AUTO
Windows 11 Pro | Original ESD Key License,/produto/windows-11-pro-key,windows-11-pro-original-esd-key-license,AUTO
Windows 11 Pro Upgrade | Original ESD Key License,/produto/windows-11-pro-upgrade-licenca-chave-original-esd,windows-11-pro-upgrade-original-esd-key-license,AUTO
Windows Server 2022 Datacenter 16 Core | Original ESD Key License,/produto/windows-server-2022-datacenter-16-core-original-esd-key-license,windows-server-2022-datacenter-16-core-original-esd-key-license,AUTO
Windows Server 2022 Standard | Original ESD Key License,/produto/windows-server-2022-standard-original-esd-key-license,windows-server-2022-standard-original-esd-key-license,AUTO
Windows Server 2025 Standard 64 Bits, 16 Core ESD,/produto/winserver2025,windows-server-2025-standard-64-bits-16-core-esd,AUTO
